Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1966,NA,NA,NA,NA,9.903967181,12.93990573,13.39772378,12.04901507,13.6041048,11.86156485,10.55498542,10.80753931
1967,9.958677116,10.29995695,10.22642876,11.13174779,12.02402584,12.56089066,12.69148035,12.6192799,13.63528214,13.13475434,11.79478581,9.604191746
1968,9.118577593,10.42033935,11.42429472,11.2066524,12.10938133,13.4829922,12.8336146,13.11308923,13.39256386,11.84040274,11.07331573,10.30622872
1969,9.203284452,9.008129223,10.00060797,11.34290129,11.49799625,13.08005708,12.55643066,11.91390862,11.70721021,11.84929696,10.73991363,10.2442387
1970,10.23567462,10.3796584,10.89423033,10.20541966,10.86903907,11.57820797,11.86910626,11.4324528,10.89824046,9.920261886,11.4345665,9.832005068
1971,8.620671487,8.783415403,9.124556162,10.31486615,10.99061576,13.74866371,12.36160489,14.53815277,12.51153071,11.03094359,9.955010592,8.911453279
1972,8.384130624,9.095302688,10.40723298,10.80371727,12.09319366,12.66444217,13.2530804,13.25702571,11.99081455,10.34799302,11.0790355,9.244241805
1973,9.437960954,10.28667337,10.56737386,11.50627082,12.23223938,12.9979203,11.92236132,11.80520148,12.31742446,11.53101619,11.07817186,10.72466135
1974,9.272654235,9.313430069,9.635700336,10.58158637,11.27590419,10.94656724,12.84497944,12.44377569,12.36544634,10.41813607,10.67385639,10.63748788
1975,9.468955963,9.106925817,9.608351798,9.884198648,11.46101061,11.13357047,12.7711818,11.88807944,12.09981367,12.0677934,11.24312673,9.766029975
1976,9.038125328,8.50962615,9.165554106,9.733651458,10.82105482,11.51058249,12.91065934,13.03710873,11.51902622,10.88901907,11.91234545,9.404273934
1977,9.770050343,10.8084227,10.1461235,10.17865124,11.49613189,11.93324172,11.45645738,12.72292329,12.94856035,11.27564103,11.20100998,10.66887033
1978,11.28787364,11.23976992,11.62120419,11.09300403,10.86924034,12.77475623,11.98010992,12.10061665,14.13216189,11.63406453,9.595305348,8.869610016
1979,8.69897467,9.101114252,10.24037651,11.09300403,11.22049352,11.347983,13.47765828,13.96164559,14.66905687,12.51520838,12.57408891,11.51503409
1980,10.51462971,10.60178931,11.07797586,11.02791451,12.21890697,12.93461895,12.62566627,11.27878281,11.81414299,11.9041639,12.12547693,11.2582183
1981,11.78705643,11.47555339,11.51050773,11.52073516,11.60288115,13.34130073,11.60886894,13.25104421,13.31585121,12.46207407,12.18391644,11.40345206
1982,9.861559419,9.642930864,9.947473669,10.37237005,11.36399527,11.20679618,12.84892979,12.35881615,12.46658795,12.37506665,12.40270474,11.71133582
1983,11.1407493,11.51735758,12.06076978,12.03447745,12.45136954,11.92161859,14.548967,13.61136606,12.67376512,11.96128327,13.02625141,11.50986826
1984,10.67333348,10.40032174,11.07259252,10.9706553,12.13560788,11.17541373,11.52769153,12.5529224,12.57415886,12.64260994,11.54436581,10.49219877
1985,9.995871128,9.481995237,8.953249127,9.906515055,11.15409924,11.79893001,10.83359116,11.93457196,12.16549357,10.8149107,10.01700061,9.149980093
1986,10.04236364,10.69690144,11.59020918,10.44985757,11.64803253,12.42805491,11.75141192,10.74237105,11.3889153,10.86096043,11.22890549,10.70381987
1987,10.5982524,10.43625799,10.60181276,11.09300403,11.35161646,11.83281789,12.26308503,10.90553764,11.47474764,10.88231255,11.99352854,11.18772679
1988,9.892157057,9.980167166,10.24967501,10.42593751,11.505745,12.52962846,11.29750192,10.78989419,11.1432358,12.0670107,12.06654563,10.51544503
1989,9.410409834,8.471443892,9.764824505,11.21428885,11.6810144,11.95907089,13.09293952,12.27861657,11.48637077,11.70256611,11.23820399,10.25457037
1990,9.969303977,9.315496403,10.11573229,11.0155165,11.76676726,13.24897988,13.48185309,12.859773,13.40160407,11.31968657,11.86585294,9.988122037
1991,8.924329364,9.98912128,10.01831941,10.64075866,10.6106534,11.51945834,11.5182991,11.86815408,12.28504575,10.78199054,10.90688365,9.900475862
1992,10.11675167,11.06481125,12.36085783,12.87239936,12.82214734,12.47424552,14.36279567,12.35964638,11.67466545,11.50565663,12.10030805,10.83159413
1993,9.36357293,10.20033013,11.55921417,11.86224381,13.54447196,14.32428532,12.80517213,13.19721078,11.75792932,11.36333333,9.517241379,10.24666667
1994,11.03666667,10.42962963,10.70344828,11.05172414,11.50344828,11.78965517,9.993333333,13.68214286,11.71851852,11.15185185,11.21538462,9.803703704
1995,10.575,11.00740741,11.31333333,11.65357143,10.9862069,10.93793103,11.98275862,11.64333333,12.92758621,12.56551724,11.27241379,12.32666667
1996,11.66071429,11.62142857,11.20666667,11.94137931,11.73103448,10.64482759,10.25517241,10.44137931,11.91481481,11.21333333,11.22068966,10.9
1997,10.75862069,10.74814815,10.11034483,10.68928571,12.31666667,13.29655172,11.94666667,12.93333333,15.92916667,12.81,12.57931034,12.69333333
1998,12.26333333,12.19259259,11.79,11.35172414,11.75333333,11.02307692,11.23666667,11.06333333,10.82413793,12.08965517,11.84137931,10.54
1999,9.543333333,9.411111111,9.738461538,9.765517241,10.59333333,11.65172414,10.625,12.49333333,10.37586207,10.02068966,11.32068966,10.84482759
2000,10,10.83214286,10.66333333,11.04482759,12.45333333,10.56551724,11.16333333,10.69666667,11.14827586,10.96,10.95517241,10.88333333
2001,10.15955242,9.911111111,10.0862069,10.6862069,10.45333333,10.89655172,10.5,11.42666667,10.64827586,10.10689655,10.9862069,10.53
2002,10.07333333,9.618518519,9.353333333,9.4,10.01724138,10.89655172,10.46896552,10.08148148,10.35357143,9.42,10.70926384,8.634782609
2003,10.95501579,10.69981196,10.69373844,10.68720011,11.4871118,11.05568709,10.84702172,11.16052932,10.2922425,11.95,11.2060573,10.98965517
2004,10.3,10.52222222,10.66,11.07241379,12.6,11.9137931,11.56666667,12.50666667,12.6,11.22666667,10.41034483,9.851724138
2005,10.20666667,10.66666667,11.36551724,11.63793103,12.99333333,13.00357143,11.07333333,10.10769231,10.39230769,11.47142857,11.26296296,10.71333333
2006,11.45925926,10.33461538,9.907142857,10.9,10.75333333,11.80689655,10.67142857,10.29835249,10.34551724,10.34807407,11.47137931,10.99
2007,9.843214286,9.834145299,10.14840741,10.51131226,10.4096627,10.92980306,12.85067857,11.9231,10.67086207,11.9004381,10.06755172,9.582466667
2008,8.9189,8.727261905,9.251962963,9.287931034,9.998814815,9.582068966,10.06766667,12.02566667,10.52275862,11.33918519,11.60931034,9.883259259
2009,9.369490741,9.026131687,9.668148148,9.517586207,10.28751852,11.55199234,10.44755556,11.69866667,12.88565134,11.13703704,11.43206897,9.730925926
2010,10.7562963,11.07213992,11.02718519,11.04639847,12.068,11.92793103,5.384793651,10.22037037,11.6362069,10.80933333,11.143659,10.63266667
2011,10.12266667,9.508148148,9.690666667,10.08517241,10.69466667,11.3037931,10.76533333,10.65466667,11.32482759,12.98740741,10.40413793,9.015666667
2012,9.178666667,9.447857143,8.885384615,10.63413793,10.66103448,11.76586207,11.12266667,10.29857143,10.12896552,10.80966667,12.2616092,11.326
2013,9.892,9.319259259,9.268,9.846206897,10.64833333,11.48551724,9.966333333,11.01655172,13.46689655,10.99433333,10.29103448,8.576333333
2014,9.060851852,9.884074074,10.76066667,10.60068966,12.241,10.66965517,10.757,10.83966667,12.12338807,13.44185185,13.85009305,13.4530119
2015,12.30359259,12.13888889,11.58274074,11.28996716,9.889777778,9.648773946,11.88707407,12.12,12.62965517,12.484,12.39827586,11.873
2016,10.99837037,11.24,11.809,12.083,11.087,11.5762069,10.56833333,9.766896552,11.11706897,12.53733333,14.03655172,11.73366667
2017,9.931666667,10.51185185,10.581,10.92172414,10.95376344,11.68413793,10.11366667,10.97437037,11.68724138,11.17793103,11.09881226,10.88966667
2018,10.99766667,10.15740741,9.664,10.41448276,10.81692593,11.24344828,10.15938095,11.10533333,11.26586207,11.4727037,10.6090873,11.23892593
2019,11.13666667,10.49493827,10.52,11.04642857,10.2992,10.07153846,12.01793103,12.014,14.54241379,10.929,9.611034483,10.49433333
2020,10.52233333,10.11444444,9.390037037,10.50413793,12.13,11.57,11.15,11.38,10.55,12.37,11.35,11.06
2021,NA,9.9,9.45,10.39,10.6,11.92,10.32,11.31,11.13758621,11.95275862,12.35482759,10.6632963
2022,10.22474074,9.796666667,10.036,10.75344828,11.38866667,12.26965517,11.06,12.53166667,11.86586207,11.62285714,11.13,9.93
2023,NA,9.93,9.33,9.84,10.97,11.055,11.48322222,11.12433498,9.81,12.1,12.07,11.72
2024,NA,11.48,11.59,11.34,11.29,9.822929293,9.83562963,13.19592593,14.99380342,12.1,12.07,NA
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
